Finland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Malaysia,,70.5038380527,92.1387387501,66.4463995675,39.0922959573,62.6302831398,102.43631972,115.927820027,55.459219034,66.7574244945,124.132973272,130.062870622,62.5791640279
,,,,Philippines,,15.8633635619,20.9844771499,14.1203335329,15.5143293015,16.5158026739,18.3589907033,12.7189379687,11.3423496895,7.59196433073,10.1551194496,9.00554695112,8.76081908381
,,,,Singapore,,218.561897963,267.355452503,211.249283248,218.35839599,548.525197806,765.704246406,866.036019326,971.97674192,1467.69813658,2141.19357395,2203.96528724,2782.57599747
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Thailand,,51.1152825882,83.9064476143,99.5748743947,114.729759181,150.470759361,115.171717145,112.748085535,74.9986778856,38.7809639058,52.0316251799,61.6414161999,30.4649567237
,,,,Viet Nam,,,,,,,,,13.4298987121,13.0518400069,13.1348452881,20.4306876951,37.2334811062
,,,South Asia,,,37.8958129533,52.9488381458,62.6195113203,80.5818895064,167.505630119,300.605425253,416.751312377,726.300055946,1089.94388861,1322.14310434,1364.50857015,227.438252058
,,,,India,,37.8958129533,52.9488381458,62.6195113203,80.5818895064,167.505630119,300.605425253,419.033066295,726.300055946,1089.94388861,1322.14310434,1347.31263351,222.279396242
,,,,Pakistan,,,,,,,,-2.28175391799,,,,17.1959366351,5.15885581592
,,,West Asia,,,-10.5755757079,-26.8152464129,11.253324846,41.4078674948,190.428101745,322.204406907,549.976659362,570.896260011,331.649243759,568.307647444,530.603348639,381.741090571
,,,,Lebanon,,,,,,,,4.60767081504,5.93231331049,,,,
,,,,Saudi Arabia,,,,,,36.4105411286,37.7613932907,136.031863346,142.894848412,47.7267258499,140.699355063,151.54724688,172.238187688
,,,,Turkey,,-10.5755757079,-26.8152464129,11.253324846,41.4078674948,69.283792217,209.297762021,320.490739023,323.723185433,186.197607163,312.096217084,334.525015624,151.190099219
,,,,United Arab Emirates,,,,,,84.7337683993,75.1452515959,88.8463861773,98.3459128557,97.7249107461,115.512075296,44.5310861361,58.3128036649
,,Latin America and the Caribbean,,,,715.613956235,705.806229695,731.188255116,1126.18502779,1372.84070626,1871.49760108,1488.49848815,1232.57244491,1845.5964446,1950.89198026,1772.0613257,1315.28393498
,,,South America,,,..,388.574628603,298.421503323,552.400021794,879.442898382,1330.48685567,940.200382157,930.879860162,1185.78703604,1340.56930134,1147.67673709,1107.05615368
,,,,Argentina,,,15.4263697589,13.3246438973,45.2626130544,,12.6168673556,2.31119590403,28.6133386032,26.7951682261,26.4701205653,24.7134980986,39.2917458307
,,,,Brazil,,346.350104434,208.890454947,127.840801449,399.626784352,387.861828795,559.72532632,887.764205022,836.174719503,1126.78004192,1098.48996046,1100.28116456,1106.27770741
,,,,Chile,,3.52519190263,19.5687328144,22.3424597672,19.8866732048,25.2219900834,31.9109286041,28.1759806389,13.3463967512,28.9992869028,59.1802947924,102.476913582,116.529449018
,,,,Colombia,,,,,,,,,,,,,3.5755752586
,,,,Ecuador,,,,,,,,,,,,,3.49641123074
,,,,Peru,,,,,,16.114704609,,14.2940842217,26.7762954633,11.3647931247,14.84177141,20.7262729812,37.2362049257
,,,,Uruguay,,,,,,,,,,,,,-217.037418197
,,,,"Venezuela, Bolivarian Rep.",,,,,,,,,12.0156538343,15.0888490323,14.0701852374,12.4990780959,17.5480261769
