Italy,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Morocco,,,,,,,,210.083291379,324.34945014,369.514013441,231.697067442,302.306895066,403.538632046
,,,,Sudan,,,,,,,,-1.66347221118,45.8982445104,46.9923864267,44.5088195876,41.9870687592,
,,,,Tunisia,,,,,,,,511.760601323,578.710340048,1113.78582593,535.094622998,720.068524966,
,,,Other Africa,,,,,,,,,1179.74038057,1854.30021182,2409.60592375,1938.37178694,2256.00596229,2553.46210682
,,,,Angola,,,,,,,,90.6813169989,248.209578788,79.3626783643,181.415864167,180.059183005,
,,,,Botswana,,,,,,,,,4.69002680413,5.07091355677,3.26032782329,2.82070292434,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (continued)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Cameroon,,,,,,,,45.78228829,17.048317018,10.9917813745,13.1482072874,15.2421469949,
,,,,Cape Verde,,,,,,,,6.07977011697,31.452405274,35.8277329991,63.2690665708,34.5600803253,
,,,,Congo,,,,,,,,43.8538382045,51.8268837347,166.922373245,44.9230415652,38.7393786949,
,,,,"Congo, Democratic Rep. of",,,,,,,,9.17117865103,42.5303320873,7.64958834842,14.0568232381,1.85027760634,
,,,,Côte d' Ivoire,,,,,,,,58.7809251261,56.0019817799,39.2419560473,31.1869063097,28.9186744766,
,,,,Equatorial Guinea,,,,,,,,55.3950967316,57.2266772065,70.2724895737,65.7143124383,28.8151624427,
,,,,Eritrea,,,,,,,,18.0479374417,32.4544288048,12.3459457902,9.9279654619,10.2218133497,
,,,,Ethiopia,,,,,,,,148.785076446,188.241253865,205.47284108,211.426914541,210.064733838,
,,,,Gabon,,,,,,,,8.83259581158,17.451909829,67.4633187112,50.1743072806,52.4159061767,
,,,,Ghana,,,,,,,,1.92845008553,2.07363202913,1.90159258379,4.75687174218,6.98706228966,
,,,,Guinea,,,,,,,,0.883259581158,2.4493908532,2.50664476954,2.6456758566,2.26432574202,
,,,,Kenya,,,,,,,,57.8387815728,23.7284738903,37.9166036404,36.9058419997,33.7578620625,
,,,,Liberia,,,,,,,,7.78740530721,2.58856078804,3.41422304817,0.708185961616,2.7430688989,
,,,,Madagascar,,,,,,,,-1.50154128797,20.4301464346,9.72405298528,8.69866152853,8.75970587056,
,,,,Mali,,,,,,,,0.883259581158,0.988106537369,1.02282631401,2.83274384647,2.97597097523,
,,,,Mauritius,,,,,,,,18.298194323,22.8377863073,152.804488911,23.3300507355,38.4676596059,
,,,,Mozambique,,,,,,,,53.7316245205,122.14945181,194.1353156,3.52756780881,24.9722781834,
,,,,Namibia,,,,,,,,2.56145278536,5.13537059562,7.07334817152,6.49393164803,7.50462245926,
,,,,Niger,,,,,,,,,3.18699150785,4.82601148159,4.47626975739,4.580407501,
,,,,Nigeria,,,,,,,,106.285569599,275.403384056,347.919412811,339.715469587,327.964940474,251.068714376
,,,,Senegal,,,,,,,,11.0849077435,38.6614078987,17.7193854399,18.6934369868,18.6062880973,
,,,,Seychelles,,,,,,,,16.3697442375,16.561222246,12.5620358565,12.9210532997,12.2144200027,
,,,,Sierra Leone,,,,,,,,-2.67922072951,3.32616144269,3.21253898625,3.16679382836,3.06654400491,
,,,,South Africa,,,,,,,,411.392870918,434.906046377,713.860737155,537.112284889,879.813471315,1097.39814228
,,,,Swaziland,,,,,,,,58.9870190284,39.1067516902,129.481167751,121.460573417,163.005575417,
,,,,Togo,,,,,,,,,1.25252941357,,0.654737964513,0.530499173845,
,,,,Uganda,,,,,,,,0.721328657946,0.709766667687,0.777924238823,1.06895994206,0.646950212006,
,,,,United Rep. of Tanzania,,,,,,,,-3.62136428275,78.0325824651,47.4677845726,75.3215899176,57.4233008176,
,,,,Zambia,,,,,,,,1.35433135778,0.974189543884,1.38297642457,1.79050790295,1.63031453425,
,,,,Zimbabwe,,,,,,,,-1.81068214137,6.16522811344,16.8550251745,24.1451326913,38.0277334617,
,,Asia,,,,,,,,,,12060.0999261,18924.0493998,20976.4677918,25500.7075179,38193.1974479,57355.7367532
,,,East Asia,,,,,,,,,4185.08998943,8051.0363985,6648.22698101,8572.32382538,11223.9004111,17548.6594891
,,,,China,,,,,,,,3160.18501344,4706.7550303,5367.51878183,6962.69730662,9401.2734568,14029.3830483
,,,,"Hong Kong, China",,,,,,,,707.373156564,1079.17934273,707.738185276,1178.9826441,1230.3828522,2456.55214271
,,,,"Korea, Republic of",,,,,,,,187.442404115,2175.62967437,509.223444332,304.894099475,439.05923088,949.730842305
,,,,"Macao, China",,,,,,,,34.2704717489,35.2934954756,29.1577529514,43.1058096637,44.0961264503,
,,,,Mongolia,,,,,,,,2.98836158292,3.34007843618,3.73115514546,9.13960750463,12.5378951087,
,,,,Taiwan Province of China,,,,,,,,92.7716980077,42.9478418918,22.7470809834,64.9393164803,88.2957649345,112.993455774
,,,South-East Asia,,,,,,,,,1017.91250431,1969.47724989,1429.09004473,1397.79874424,2619.60492044,2656.57325311
,,,,Brunei Darussalam,,,,,,,,10.2899741205,14.835515054,21.5801946251,24.9735766464,16.005548245,
,,,,Indonesia,,,,,,,,60.5768862744,87.6353079691,145.241336589,145.979842088,233.807806619,361.489339244
,,,,Malaysia,,,,,,,,116.340007832,229.240716669,357.585841779,73.9185799936,244.805960223,407.866265569
,,,,Myanmar,,,,,,,,223.096649208,257.478296449,51.6455258552,74.6802139523,87.9722898285,
