Portugal,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Cape Verde,,131.961152385,109.989701771,137.546952003,91.9350005448,97.5989562013,111.198325829,130.457440137,194.219994266,171.653305098,303.263935563,296.380831124,318.573200338
,,,,Congo,,,,,,,,,,,1.38964792468,,
,,,,Equatorial Guinea,,,,,,,,,,,42.1704697144,,
,,,,Ghana,,,,,,,,,,,5.184455719,,
,,,,Guinea,,,,1.38803636428,,,,,,,-12.9611392975,,
,,,,,,,,,,,,,,,,,/...
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Kenya,,2.88096308243,3.53936083862,4.24746705466,,,,,,,15.6335391527,,
,,,,Mali,,,,,,,,,,,16.7425850926,,
,,,,Mauritania,,,,,,,,,,,18.3861110035,,
,,,,Mozambique,,403.652098811,415.045901577,430.471881844,475.976626348,387.559825546,427.250853087,639.616841994,1071.3329418,727.697704403,575.300878819,694.169814079,660.423263669
,,,,Namibia,,,,,,,,,,,1.41637192323,,
,,,,Nigeria,,,,,,5.89850095497,34.2420199631,39.7466811521,1.39169934841,37.4556114989,14.1503572331,15.1282837575,27.7087291535
,,,,Senegal,,3.37713384272,1.74293858186,2.60430480723,,,,,,,32.3360382474,,
,,,,Seychelles,,,,,,,,,,,-2.56550386095,,
,,,,South Africa,,15.9982021521,18.7612341935,30.9119108423,136.607823908,227.330586205,160.512102579,216.59585869,129.675761886,147.383509447,153.101787702,165.905206267,250.651783829
,,,,Swaziland,,,,,,,,,,,6.32022565744,,
,,,,Uganda,,,,,,,,,,,0.681461963065,,
,,Asia,,,,473.455304973,514.74261768,608.25294342,618.817423995,422.653546828,428.515173824,740.938492747,355.420529792,365.99462656,773.646396068,131.818693497,152.067500528
,,,East Asia,,,469.984753545,460.682158056,551.788028281,74.1064618067,47.4168694768,47.1881375107,43.7920100338,4.20710713023,36.9586043463,555.244517906,83.527741872,83.9099113363
