Switzerland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
"Table 4. FDI stock abroad, by geographical destination (concluded)",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,India,,337.983664222,447.288722238,507.88260975,701.396253093,1464.04930381,1805.29378022,2261.30608618,2212.65394378,6113.14895682,10595.8918689,9032.73461579,8160.48439887
,,,,Pakistan,,140.642699577,187.337755985,239.146252729,501.237186285,521.570417713,782.430549865,1400.0,1288.52119959,1524.40562834,1524.47850149,1523.64757147,1543.42133973
,,,,Sri Lanka,,38.0373218864,7.06662820883,-16.8162341337,-13.7857900318,-3.04344517994,-8.27665328198,0.799644602399,24.9130393908,-0.970402717128,113.133248191,119.353810182,120.881518656
,,,West Asia,,,1006.49853932,1190.65474474,1605.95035977,1889.97879109,2172.33508331,2344.34155536,2777.78764993,11858.794773,10579.5245027,8080.03405705,11407.8010416,13678.5948069
,,,,Lebanon,,75.8957848924,,-8.89320074379,,,,,,,,,
,,,,Saudi Arabia,,133.72682287,135.563888088,196.21634732,187.610463061,134.976793731,257.64156355,131.674811195,575.444204193,646.579330422,553.320561941,864.385163142,1037.20270565
,,,,Turkey,,601.979371609,751.514277473,912.684938152,1237.7165076,1605.34124629,1536.17962796,2345.62416704,2993.51320861,3015.91460456,2943.2737335,2819.2156446,2871.15426576
,,,,United Arab Emirates,,194.896559948,303.360253822,505.942275042,464.651820431,432.017043293,550.520363845,300.488671701,8289.83736016,6917.03056769,4583.4397616,7724.20023382,9770.23783548
,,Latin America and the Caribbean,,,,38179.6935551,47430.9922123,59979.1414019,77199.3637328,71304.4206041,119074.325985,112440.604176,107942.182946,143827.850558,182707.747978,168453.395685,197720.052367
