United Kingdom,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,Other Africa,,,8197.66050488,16306.5903318,22506.8621747,23669.3133292,25807.8291325,18917.4440152,21316.1948989,18586.9541449,27369.5291307,19712.7622602,20682.1699194,25143.8346005
,,,,Kenya,,426.417584649,448.080667415,508.639736721,459.673322917,483.853748747,614.419422721,663.125987928,542.301720933,641.321510992,742.046482794,895.191476664,841.073417977
,,,,Nigeria,,1514.21754549,1631.14257347,1834.67245386,1834.83049063,1591.03510264,1984.5943654,1490.5309215,1966.57263855,3353.98194259,2908.69697264,3362.76590975,3064.47387938
,,,,South Africa,,6016.25898341,14127.4354313,20077.8843442,21175.8752624,23646.845308,16204.5761487,19098.4291327,16027.056774,23327.260213,16038.5363211,16402.5671432,21189.369337
,,,,Zimbabwe,,240.766391332,99.9316596392,85.6656398688,198.934253195,86.0949730867,113.854078332,64.1088568389,51.0230113781,46.9654641888,23.4824836327,21.6453897639,48.9179661488
,,Asia,,,,41031.8145229,43547.6383892,72117.9758637,78291.2513351,82864.6896965,97706.429222,113454.645989,101678.657074,116587.716102,149015.144636,166777.728131,162062.065853
,,,East Asia,,,13475.6659149,16135.7394298,36352.5712185,43002.6324989,47701.7807884,55448.8991488,65497.2142698,52896.2847959,51874.1649459,58854.9314781,64557.3749708,73320.1412625
,,,,China,,3054.54229004,5177.1046897,3228.52380255,3634.89577197,4623.30005476,4373.56700901,5447.24942953,6663.60528598,7200.29150978,9017.27371496,9797.6310667,11202.2142481
,,,,"Hong Kong, China",,9627.7548534,9464.49524841,30734.3330038,37015.2908979,35181.8498022,43688.5580577,51120.8031237,41789.304119,39421.8389408,43325.1823023,47952.2688234,56553.9028647
,,,,"Korea, Republic of",,793.368771439,1494.1394917,2389.71441217,2352.44582904,7896.63093151,7386.7740821,8929.16171659,4443.37539087,5252.03449532,6512.4754608,6807.47508075,5564.0241497
,,,South-East Asia,,,15635.3114371,16985.1585367,24364.7357393,19945.5731334,19023.5452532,20114.874839,19501.1128897,20573.935988,16546.4188834,20777.3015182,27996.7655603,23494.8257416
,,,,Indonesia,,2338.04471583,1634.36617539,2336.17338726,2275.18980839,2011.17857131,1927.66732624,1652.80646538,1508.82333647,2992.83371796,4150.13760735,8437.06371011,5649.23609073
,,,,Malaysia,,3466.45587521,1956.72636777,2634.21842597,3074.7896222,2505.36371682,2304.56358554,2470.19439007,1298.90008965,1431.63690838,2135.34051167,2684.02833072,3340.62368829
,,,,Singapore,,8625.52848948,10955.4111382,16972.504899,12766.5574138,12301.2497546,13120.701027,12461.1590481,15276.2896066,10176.9302401,12475.4608046,14746.6948263,14504.9659626
,,,,Thailand,,1205.28235661,2438.65485539,2421.83902712,1829.03628908,2205.75321048,2761.94290022,2916.95298617,2489.92295525,1945.01801692,2016.3625946,2128.97869321,
,,,South Asia,,,2158.1951223,2271.02755535,2775.20979158,3248.61566868,3660.75825565,3880.85367003,5894.00802563,5065.85612969,15040.2850318,17048.2831173,21054.7798432,9531.11340447
,,,,India,,2158.1951223,2271.02755535,2775.20979158,3248.61566868,3660.75825565,3880.85367003,5894.00802563,5065.85612969,15040.2850318,17048.2831173,21054.7798432,9531.11340447
,,,West Asia,,,3399.73747761,2609.50575735,2161.27270586,3982.54786493,5188.08307821,9336.03442319,12661.4992257,13012.3257017,20729.5841937,25287.5038746,31846.5527398,35227.2476227
,,,,,,,,,,,,,,,,,/...
